name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 220074 b,Confirmed,11.1,1.8,1.8,11.1,1.8,1.8,0,,,672.1,3.7,3.7,1.6,0.1,0.1,0.14,0.05,0.05,,,,,2012,11/13/12,323,8.5,8.5,2451158.2,31.7,31.7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 220074,350.0583,61.97,6.4,,,,,290.2,45.5,45.5,-0.25,0.25,0.25,1.2,0.3,0.3,49.67,9.5,9.5,M2III,4.5,2.8,2.8,3935,110,110,,,
HD 222155 b,Confirmed,1.9,0.53,0.67,1.9,0.53,0.67,0,,,3999,541,541,5.1,0.7,0.7,0.16,0.22,0.22,,,,0.10387,2012,5/25/12,137,52,52,2456319,498,498,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 222155,354.5,48.9963889,7.1,,,,,49.1,1.5,1.5,-0.11,0.05,0.05,1.13,0.11,0.11,1.67,0.7,0.7,G2V,8.2,0.7,0.7,5765,22,22,,,
HD 222582 b,Confirmed,7.75,0.65,0.65,7.75,0.65,0.65,0,,,572.38,0.61,0.61,1.35,0.08,0.08,0.725,0.012,0.012,,,,0.032143,1999,1/15/16,319.01,0.87,0.87,2450706.7,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 222582,355.4625,-5.9855556,7.7,,,,,42,,,-0.0229,,,0.99,,,1.15,,,G5,6.16,,,5662,,,,,
HD 224538 b,Confirmed,5.97,0.42,0.42,5.97,0.42,0.42,0,,,1189.1,5.1,5.1,2.28,0.08,0.08,0.464,0.022,0.022,,,,,2016,4/2/16,24,2,2,,,,,,,,,,,,,,,,,,,,,,107,2.4,2.4,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 224538,359.7166667,-61.58666668,8.06,,,,,77.76,4.41,4.41,0.27,0.1,0.1,1.54,0.06,0.06,1.34,0.05,0.05,F9IV/V,2,2,3,6097,100,100,,,
HD 224693 b,Confirmed,0.71,,,0.71,,,0,,,26.73,0.02,0.02,0.233,,,0.05,0.03,0.03,,,,0.002479,2006,4/18/06,6,200,200,2453193.9,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 224693,359.975,-22.4280556,8.23,,,,,94,,,0.343,0.03,0.03,1.33,0.1,0.1,1.7,0.3,0.3,G2IV,2,0.5,0.5,6037,44,44,,,
HD 23079 b,Confirmed,2.45,0.21,0.21,2.45,0.21,0.21,0,,,730.6,5.7,5.7,1.596,0.093,0.093,0.102,0.031,0.031,,,,0.043103,2001,1/21/16,55,17,17,2450492,37,37,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 23079,54.9291667,-52.9158333,7.1,,,,,34.8,,,-0.24,,,1.1,0.15,0.15,1.13,,,F8/G0 V,6.53,,,5848,,,,,
HD 231701 b,Confirmed,1.08,,,1.08,,,0,,,141.89,0.15,0.15,0.53,,,0.096,0.069,0.069,,,,0.004889,2007,2/2/16,54.4,3.69,3.69,2454885.141,1.422,1.422,,,,,,,,,,,,,,,,,,,39.06,2.64,2.64,0,,,,,0,,,,Submitted to a professional journal,Radial Velocity,,,,,HD 231701,293.0166667,16.4741667,8.97,,,,,108.4,,,0.07,0.03,0.03,1.14,0.08,0.08,1.35,0.2,0.2,F8V,4.9,1.3,1.3,6208,44,44,,,
HD 23596 b,Confirmed,8.1,,,8.1,,,0,,,1565,21,21,2.88,,,0.292,0.023,0.023,,,,0.055385,2002,12/30/10,274.1,3.9,3.9,2451604,15,15,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 23596,57,40.5305556,7.24,,,,,52,,,0.32,,,1.27,0.04,0.04,2.09,0.24,0.24,F8,6.89,,,5888,,,,,
HD 24064 b,Confirmed,9.4,1.3,1.3,9.4,1.3,1.3,0,,,555.6,3,3,1.29,0.05,0.05,0.35,0.08,0.08,,,,,2015,10/1/15,250.8,6.3,6.3,2455278.3,11.8,11.8,,,,,,,,,,,,,,,,,,,251,9.3,9.3,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 24064,59.15000001,74.08000001,6.75,,,,,264.4,31.2,31.2,-0.49,0.06,0.06,1,0.1,0.1,38,2.9,2.9,K0,9,2.1,2.1,4052.5,22.5,22.5,,,
HD 25171 b,Confirmed,0.95,0.1,0.1,0.95,0.1,0.1,0,,,1845,15,15,3.02,0.16,0.16,0.08,0.06,0.06,,,,0.054909,2010,12/20/10,96,89,89,55301,449,449,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 25171,58.9541667,-65.1866667,7.79,,,,,55,1.5,1.5,-0.11,0.044,0.044,1.09,0.3,0.3,1.18,0.04,0.04,F8V,2,1.6,1.6,6160,65,65,,,
HD 27442 b,Confirmed,1.35,0.11,0.11,1.35,0.11,0.11,0,,,415.2,0.5,0.5,1.16,0.11,0.11,0.058,0.05,0.05,,,,0.064088,2000,4/8/11,347,20,20,2451849.3,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 27442,64.1208333,-59.3019444,4.44,,,,,18.1,,,0.22,,,1.2,0.1,0.1,6.6,,,K2 IV a,7.15,,,4749,50,50,,,
HD 28185 b,Confirmed,5.7,,,5.7,,,0,,,383,2,2,1.03,,,0.07,0.04,0.04,,,,0.026142,2001,12/20/10,351,25,25,51853,25,25,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 28185,66.6083333,-10.5505556,7.81,,,,,39.4,,,0.24,,,1.24,,,1.03,,,G5,5.36,,,5482,,,,,
HD 285507 b,Confirmed,0.917,0.033,0.033,0.917,0.033,0.033,0,,,6.0881,0.0018,0.0018,0.0729,0.003,0.003,0.086,0.019,0.019,,,,,2013,6/14/15,182,11,11,2456263.121,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 285507,61.75416667,15.33500001,10.5,,,,,41.3,3,3,0.13,0.01,0.01,0.734,0.034,0.034,0.656,0.034,0.034,K5,0.625,50,50,4503,85,61,,,
HD 286123 b,Confirmed,0.408,0.049,0.049,,,,1.08,0.038,0.038,11.168453,1.80E-05,1.80E-05,0.0908,0.0014,0.0014,0.268,0.038,0.038,89.84,0.16,0.11,,2018,3/15/18,168.6,7.9,6.4,2457911.58,0.79,1,,,,2457858.857,3.70E-05,3.70E-05,,,,,,,0.041,0.029,0.43,,,,36.9,4.6,5,999,17,17,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HD 286123,73.76666667,18.65444446,9.8,,,,,133.1,4,4,0.058,0.058,0.058,1.062,0.043,0.047,1.252,0.044,0.044,F9V,6.5,1.8,1.8,5855,86,75,,,
HD 28678 b,Confirmed,1.7,0.1,0.1,1.7,0.1,0.1,0,,,387.1,4.2,4.2,1.24,0.03,0.03,0.168,0.068,0.068,,,,0.005463,2011,9/2/11,131,30,30,2455517,30,30,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 28678,67.8541667,4.5752778,8.54,,,,,227,48,48,-0.11,0.03,0.03,1.74,0.12,0.12,6.2,0.1,0.1,K0D,1.8,0.7,0.7,5076,44,44,,,
HD 29021 b,Confirmed,2.4,0.2,0.2,2.4,0.2,0.2,0,,,1362.3,4,4.6,2.28,0.08,0.07,0.459,0.008,0.008,,,,,2017,6/29/17,,,,2455823.9,5.7,6.1,,,,,,,,,,,,,,,,,,,56.4,0.9,0.9,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 29021,69.46750002,60.67619447,7.76,,,,,30.6,0.4,0.4,-0.24,0.02,0.02,0.85,0.08,0.08,0.85,0.09,0.09,G5,7.4,3.1,3.1,5560,45,45,,,2MASS J04375221+6040344
HD 30177 b,Confirmed,8.07,0.12,0.12,8.07,0.12,0.12,0,,,2532.5,10.6,10.6,3.58,0.01,0.01,0.18,0.014,0.014,,,,,2002,12/8/16,32,4,4,2451428,26,26,,,,,,,,,,,,,,,,,,,126.1,1.9,1.9,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 30177,70.475,-58.0205556,8.41,,,,,54.7,2.3,2.3,0.33,0.05,0.05,1.05,0.08,0.08,1.12,,,G8 V,11.6,2.2,1.8,5580,12,12,,,
HD 30177 c,Confirmed,3,0.3,0.3,3,0.3,0.3,0,,,6921,621,621,6.99,0.42,0.42,0.35,0.1,0.1,,,,,2016,12/9/16,11,13,13,2451661,573,573,,,,,,,,,,,,,,,,,,,35.8,3.4,3.4,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 30177,70.475,-58.0205556,8.41,,,,,54.7,2.3,2.3,0.33,0.05,0.05,1.05,0.08,0.08,1.12,,,G8 V,11.6,2.2,1.8,5580,12,12,,,
HD 30562 b,Confirmed,1.29,0.08,0.08,1.29,0.08,0.08,0,,,1157,27,27,2.3,0.02,0.02,0.76,0.05,0.05,,,,0.086792,2009,9/25/09,81,10,10,10131.5,14,14,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 30562,72.15,-5.6741667,5.77,,,,,26.5,,,0.243,0.04,0.04,1.219,0.04,0.04,1.637,0.06,0.06,F8V,4,,,5861,44,44,,,
HD 30669 b,Confirmed,0.47,0.06,0.06,0.47,0.06,0.06,0,,,1684,61,61,2.69,0.08,0.08,0.18,0.15,0.15,,,,,2014,6/14/15,82,43,36,2457181,101,1385,,,,,,,,,,,,,,,,,,,8.6,1.1,1.1,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 30669,72.12083334,-28.41916668,9.11,,,,,57,3.9,3.9,0.13,0.06,0.06,0.92,0.03,0.03,0.91,0.04,0.04,G9V,4.8,4,4,5400,74,74,,,
HD 30856 b,Confirmed,1.8,0.2,0.2,1.8,0.2,0.2,0,,,912,41,41,2,0.08,0.08,0.24,inf,nan,,,,0.016935,2011,9/2/11,180,60,60,2455260,150,150,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 30856,72.575,-24.3688889,8.07,,,,,118.1,9.9,9.9,-0.06,0.03,0.03,1.35,0.094,0.094,4.2,0.1,0.1,K0III,3.8,1,1,4982,44,44,,,
HD 31253 b,Confirmed,0.5,0.07,0.07,0.5,0.07,0.07,0,,,466,3,3,1.26,0.006,0.006,0.3,0.2,0.2,,,,0.023411,2010,11/19/10,244,23,23,10660,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 31253,73.6833333,12.3522222,7.13,,,,,53.82,3.45,3.45,0.16,,,1.23,0.05,0.05,1.71,,,F8,3,,,5960,,,,,
HD 32518 b,Confirmed,3.04,0.69,0.69,3.04,0.69,0.69,0,,,157.54,0.38,0.38,0.59,0.03,0.03,0.01,0.03,0.03,,,,0.005026,2009,8/13/09,306.11,126.71,126.71,2452950.29,13.66,13.66,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 32518,77.4041667,69.6394444,6.44,,,,,117.4,10.7,10.7,-0.15,0.04,0.04,1.13,0.18,0.18,10.22,0.87,0.87,K1III,5.83,2.58,2.58,4580,70,70,,,
HD 33142 b,Confirmed,1.3,0.1,0.1,1.3,0.1,0.1,0,,,326.6,3.9,3.9,1.06,0.03,0.03,0.22,inf,nan,,,,0.008413,2011,9/2/11,138,60,60,2455324,60,60,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 33142,76.9,-13.9863889,8.13,,,,,126,11,11,0.05,0.03,0.03,1.48,0.1,0.1,4.2,0.1,0.1,K0III,3,0.4,0.4,5052,44,44,,,
