name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HATS-23 b,Confirmed,1.47,0.072,0.072,,,,1.86,0.4,0.3,2.1605156,4.50E-06,4.50E-06,0.03397,0.00047,0.00047,0.114,0.114,0,81.02,0.62,0.93,,2015,7/11/16,,,,,,,,,,2457072.853,0.0007,0.0007,,,,,,,0.949,0.049,0.029,,,,219.3,8.6,8.6,1654,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-23,286.3666667,-50.0675,13.9,,,,,747,46,46,0.28,0.07,0.07,1.121,0.046,0.046,1.199,0.081,0.061,,4.2,1.5,1.5,5780,120,120,,,
HATS-24 b,Confirmed,2.44,0.18,0.18,,,,1.487,0.054,0.078,1.3484954,1.30E-06,1.30E-06,0.02547,0.00023,0.00023,0.24,0.24,0,86.6,1.2,1.2,,2016,7/11/16,,,,,,,,,,2457038.473,0.00038,0.00038,,,,,,,0.276,0.1,0.08,,,,396,29,29,2067,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-24,268.8916667,-61.74722225,12.8,,,,,510,15,15,0,0.05,0.05,1.212,0.033,0.033,1.172,0.033,0.033,,0.88,0.045,0.067,6346,81,81,,,
HATS-25 b,Confirmed,0.613,0.042,0.042,,,,1.26,0.1,0.1,4.2986432,4.50E-06,4.50E-06,0.05163,0.0006,0.0006,0.088,0.088,0.088,86.93,0.71,0.71,,2016,7/28/16,,,,,,,,,,2456870.369,0.00051,0.00051,,,,,,,0.538,0.105,0.075,,,,76.8,5,5,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-25,207.9075,-23.78116669,13.1,,,,,466,30,30,0.02,0.05,0.05,0.994,0.035,0.035,1.107,0.069,0.069,G,7.5,1.9,1.9,5715,73,73,,,2MASS 13513786-2346522| GSC 6716-01190
HATS-26 b,Confirmed,0.65,0.076,0.076,,,,1.75,0.21,0.21,3.3023881,7.60E-06,7.60E-06,0.04735,0.00068,0.00133,0.122,0.122,0.122,86.2,1.9,1.9,,2016,7/28/16,,,,,,,,,,2456867.423,0.0012,0.0012,,,,,,,0.33,0.17,0.12,,,,73.3,8,8,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-26,144.9268333,-28.58558335,12.955,,,,,907,49,69,-0.02,0.05,0.05,1.299,0.056,0.113,2.04,0.11,0.15,F,4.04,0.94,0.62,6071,81,81,,,2MASS 09394244-2835081| GSC 6614-01083
HATS-27 b,Confirmed,0.53,0.13,0.13,,,,1.5,0.11,0.2,4.637038,1.40E-05,1.40E-05,0.0611,0.00068,0.00068,0.29,0.29,0.29,87.3,1.3,1.3,,2016,7/28/16,,,,,,,,,,2457029.337,0.0011,0.0011,,,,,,,0.36,0.19,0.15,,,,51,13,13,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-27,193.5525,-46.58772224,12.8,,,,,840,51,80,0.09,0.04,0.04,1.415,0.048,0.048,1.74,0.1,0.17,F,2.3,0.22,0.22,6438,64,64,,,2MASS 12541261-4635157| GSC 8245-02236
HATS-28 b,Confirmed,0.672,0.087,0.087,,,,1.194,0.07,0.07,3.1810781,3.90E-06,3.90E-06,0.04131,0.00053,0.00053,0.101,0.101,0.101,86.17,0.42,0.42,,2016,7/28/16,,,,,,,,,,2457034.283,0.00046,0.00046,,,,,,,0.643,0.047,0.039,,,,97,12,12,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-28,284.4,-49.13847223,,,,,,521,25,25,0.01,0.06,0.06,0.929,0.036,0.036,0.922,0.04,0.04,G,6.2,2.8,2.8,5498,84,84,,,2MASS 18573592-4908184| GSC 8382-00661
HATS-29 b,Confirmed,0.653,0.063,0.063,,,,1.251,0.061,0.061,4.6058749,6.30E-06,6.30E-06,0.05475,0.00088,0.00088,0.079,0.079,0.079,87.37,0.34,0.34,,2016,7/28/16,,,,,,,,,,2457031.956,0.00038,0.00038,,,,,,,0.502,0.041,0.046,,,,78.4,7.1,7.1,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-29,135.096,-54.89319447,12.6,,,,,351,15,15,0.16,0.08,0.08,1.032,0.049,0.049,1.073,0.038,0.038,G,5.5,1.7,2.6,5670,110,110,,,2MASS 19002314-5453354| GSC 8763-00475
HATS-30 b,Confirmed,0.706,0.039,0.039,,,,1.175,0.052,0.052,3.1743516,2.60E-06,2.60E-06,0.04354,0.00042,0.00042,0.048,0.048,0.048,86.84,0.48,0.48,,2016,7/28/16,,,,,,,,,,2456629.762,0.00036,0.00036,,,,,,,0.487,0.061,0.052,,,,91.8,4.7,4.7,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-30,5.618708343,-59.94255558,12.192,,,,,339,16,16,0.06,0.05,0.05,1.093,0.031,0.031,1.061,0.039,0.039,,2.3,1.2,1.2,5943,70,70,,,2MASS 00222848-5956331| GSC 8471-00231
HATS-31 b,Confirmed,0.88,0.12,0.12,,,,1.64,0.22,0.22,3.37796,1.20E-05,1.20E-05,0.0478,0.0012,0.0012,0.233,0.233,0,85,1.6,2.5,,2016,7/11/16,,,,,,,,,,2456960.148,0.0011,0.0011,,,,,,,0.48,0.21,0.11,,,,102,13,13,1823,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-31,191.7041667,-24.42750002,13.1,,,,,872,84,84,0,0.07,0.07,1.275,0.096,0.096,1.87,0.18,0.18,,4.3,1.1,1.1,6050,120,120,,,
HATS-32 b,Confirmed,0.92,0.1,0.1,,,,1.249,0.096,0.144,2.8126548,5.50E-06,5.50E-06,0.04024,0.00053,0.00053,0.471,0.471,0,87.1,1.2,1.2,,2016,7/11/16,,,,,,,,,,2456454.625,0.0011,0.0011,,,,,,,0.4,0.16,0.13,,,,124,14,14,1437,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-32,346.075,-21.27194445,14.38,,,,,839,55,77,0.39,0.05,0.05,1.099,0.044,0.044,1.097,0.063,0.098,,3.5,1.8,1.8,5700,110,110,,,
HATS-33 b,Confirmed,1.192,0.053,0.053,,,,1.23,0.08,0.11,2.5495551,6.10E-06,6.10E-06,0.03727,0.00037,0.00037,0.08,0.08,0,87.62,0.92,0.92,,2016,7/11/16,,,,,,,,,,2456497.232,0.0005,0.0005,,,,,,,0.33,0.12,0.12,,,,170.1,6.8,6.8,1429,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-33,294.6333333,-55.33000002,11.9,,,,,355,12,12,0.29,0.05,0.05,1.062,0.032,0.032,1.022,0.037,0.05,,3,0.17,0.17,5659,85,85,,,
HATS-34 b,Confirmed,0.941,0.072,0.072,,,,1.43,0.19,0.19,2.1061607,4.70E-06,4.70E-06,0.03166,0.00034,0.00034,0,,,82.28,0.59,0.43,,2016,7/11/16,,,,,,,,,,2456634.857,0.00075,0.00075,,,,,,,0.937,0.034,0.022,,,,152,11,11,1445,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-34,0.775000002,-62.46944446,13.85,,,,,532,32,32,0.25,0.07,0.07,0.955,0.031,0.031,0.98,0.047,0.047,,7.7,2.7,2.7,5380,73,73,,,
HATS-35 b,Confirmed,1.222,0.078,0.078,,,,1.464,0.044,0.069,1.8209933,1.60E-06,1.60E-06,0.03199,0.00033,0.00033,0,,,86.9,1.3,1.3,,2016,7/11/16,,,,,,,,,,2456981.802,0.00041,0.00041,,,,,,,0.26,0.14,0.11,,,,170,10,10,2037,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-35,296.6875,-63.56555558,12.56,,,,,557,17,22,0.21,0.06,0.06,1.317,0.4,0.4,1.433,0.038,0.056,,2.13,0.51,0.51,6300,100,100,,,
HATS-4 b,Confirmed,1.323,0.028,0.028,,,,1.02,0.037,0.037,2.516729,2.00E-06,2.00E-06,0.0362,0.0002,0.0002,0.013,0.013,0.016,88.5,0.6,0.6,,2014,5/21/14,275,98,98,,,,,,,2455808.341,0.00036,0.00036,,,,,,,,,,,,,,,,1315,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HATS-4,94.11250001,-21.45305553,13.5,0.017,,,,420,12,12,0.43,0.08,0.08,1.001,0.02,0.02,0.925,0.022,0.022,,2.1,1.6,1.6,5403,50,50,,,
HATS-40 b,Confirmed,1.59,0.24,0.24,,,,1.58,0.12,0.16,3.2642736,6.00E-06,6.00E-06,0.04997,0.00074,0.00074,0.312,0.312,0,85.8,1.8,1.8,,2018,4/16/18,,,,,,,,,,2456962.676,0.001,0.001,,,,,,,0.35,0.16,0.13,,,,162,23,23,2100,69,69,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-40,100.5708333,-29.77694447,13.4,,,,,1431,75,116,0.01,0.077,0.077,1.56,0.07,0.07,2.26,0.11,0.18,,2.07,0.34,0.34,6460,130,130,,,
HATS-41 b,Confirmed,9.7,1.6,1.6,,,,1.33,0.2,0.29,4.193649,1.30E-05,1.30E-05,0.0583,0.001,0.0015,0.38,0.11,0.11,80.4,4.2,2.3,,2018,4/16/18,136,18,18,,,,,,,2456795.724,0.0014,0.0014,,,,,,,0.849,0.051,0.029,,,,1080,190,190,1710,120,170,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-41,103.5166667,-27.05027778,17.7,,,,,800,110,170,0.47,0.041,0.041,1.496,0.075,0.115,1.71,0.24,0.36,,1.34,0.51,0.31,6424,91,91,,,
HATS-42 b,Confirmed,1.88,0.15,0.15,,,,1.4,0.14,0.25,2.292102,2.10E-06,2.10E-06,0.03689,0.00065,0.00065,0.229,0.229,0,85.1,2.1,2.1,,2018,4/16/18,,,,,,,,,,2456768.607,0.00069,0.00069,,,,,,,0.46,0.18,0.15,,,,246,17,17,1856,76,105,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-42,108.45,-33.43722223,13.6,,,,,942,80,126,0.22,0.07,0.07,1.273,0.067,0.067,1.48,0.12,0.2,,3.26,0.8,0.8,6060,120,120,,,
HATS-43 b,Confirmed,0.261,0.054,0.054,,,,1.18,0.05,0.05,4.3888497,5.90E-06,5.90E-06,0.04944,0.00046,0.00046,0.173,0.089,0.089,89.24,0.41,0.29,,2017,7/26/17,330,120,120,,,,2457636.089,0.00025,0.00025,,,,,,,,,,,,,,,,37.5,8,8,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-43,80.53816667,-30.97083336,13.593,,,,,341,17,17,0.05,0.041,0.041,0.837,0.023,0.023,0.812,0.032,0.032,K,8.6,4.8,3,5099,61,61,,,2MASS-05220915-3058150
HATS-44 b,Confirmed,0.56,0.11,0.11,,,,1.067,0.071,0.125,2.7439004,3.20E-06,3.20E-06,0.03649,0.0003,0.0003,0.279,nan,0,84.65,0.38,0.38,,2017,7/26/17,,,,,,,2456931.114,0.00061,0.00061,,,,,,,,,,,,,,,,90,17,17,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-44,84.32670834,-27.97261114,14.428,,,,,463,23,23,0.32,0.071,0.071,0.86,0.021,0.021,0.847,0.036,0.036,K,9.7,4,2.4,5080,100,100,,,2MASS-05371842-2758214
HATS-45 b,Confirmed,0.7,0.15,0.15,,,,1.286,0.093,0.093,4.1876244,5.60E-06,5.60E-06,0.05511,0.00069,0.00069,0.24,nan,0,85.61,0.42,0.42,,2017,7/26/17,,,,,,,2456731.195,0.00073,0.00073,,,,,,,,,,,,,,,,75,16,16,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-45,101.9942917,-21.91069447,13.307,,,,,818,41,41,0.02,0.068,0.068,1.272,0.048,0.048,1.315,0.064,0.064,F,1.52,0.7,0.7,6450,110,110,,,2MASS-06475862-2154385
HATS-46 b,Confirmed,0.173,0.062,0.062,,,,0.903,0.045,0.058,4.7423729,4.90E-06,4.90E-06,0.05367,0.00053,0.00053,0.559,nan,0,87.32,0.31,0.22,,2017,7/26/17,,,,,,,2457376.685,0.0006,0.0006,,,,,,,,,,,,,,,,22.1,8,8,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-46,6.702416683,-56.31611113,13.634,,,,,448,22,22,-0.06,0.046,0.046,0.917,0.027,0.027,0.853,0.03,0.04,G,3,2.1,3.4,5495,69,69,,,2MASS-00264858-5618580
HATS-5 b,Confirmed,0.237,0.012,0.012,,,,0.912,0.025,0.025,4.763387,1.00E-05,1.00E-05,0.0542,0.0006,0.0006,0.019,0.019,0.019,89.3,0.3,0.3,,2014,1/16/14,204,107,107,,,,,,,,,,2456273.791,0.0001,0.0001,,,,,,,,,,,,,1025,,,,,0,,,,Published in a refereed paper,Primary Transit,,,,,HATS-5,67.22500002,-20.51805553,12.63,,,,,257,8,8,0.19,0.08,0.08,0.936,0.028,0.028,0.871,0.023,0.023,,3.6,2.6,1.9,5304,50,50,,,
HATS-50 b,Confirmed,0.39,0.1,0.1,,,,1.13,0.075,0.075,3.8297015,4.60E-06,4.60E-06,0.05046,0.0006,0.0006,0.516,0.516,0,87.54,0.66,0.66,,2017,12/15/17,,,,,,,,,,2456870.348,0.00068,0.00068,,,,,,,0.421,0.1,0.08,,,,45,12,12,1348,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-50,300.4291667,-26.07750001,14,,,,,717,43,43,0.3,0.056,0.056,1.168,0.042,0.042,1.117,0.06,0.06,,1.2,1.1,1.1,5990,110,110,,,
HATS-51 b,Confirmed,0.768,0.045,0.045,,,,1.41,0.19,0.19,3.3488702,3.90E-06,3.90E-06,0.04639,0.00077,0.00077,0.33,0.33,0,87.1,1.6,1.6,,2017,12/15/17,,,,,,,,,,2457042.004,0.00058,0.00058,,,,,,,0.3,0.14,0.14,,,,94.9,5.1,5.1,1553,92,92,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-51,102.8458333,-29.05861112,12.5,,,,,478,59,59,0.3,0.03,0.03,1.187,0.06,0.06,1.44,0.18,0.18,,4.74,0.5,0.7,5758,58,58,,,
HATS-52 b,Confirmed,2.24,0.15,0.15,,,,1.382,0.086,0.086,1.3665436,9.40E-07,9.40E-07,0.02498,0.0004,0.0004,0.246,0.256,0,84.7,1.1,1.1,,2017,12/15/17,,,,,,,,,,2456929.03,0.00033,0.00033,,,,,,,0.231,0.074,0.074,,,,380,23,23,1834,73,73,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-52,140.0875,-31.26944445,13.7,,,,,631,44,44,0.22,0.1,0.1,1.111,0.054,0.054,1.046,0.058,0.058,,1.2,1.1,1.5,6010,150,150,,,
HATS-53 b,Confirmed,0.595,0.089,0.089,,,,1.34,0.056,0.056,3.8537768,3.80E-06,3.80E-06,0.04753,0.00066,0.00066,0.33,0.33,0,88.79,0.55,0.55,,2017,12/15/17,,,,,,,,,,2457236.757,0.00049,0.00049,,,,,,,0.198,0.096,0.082,,,,79,12,12,1312,25,25,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-53,176.6291667,-33.86000003,13.8,,,,,613,19,19,0.01,0.066,0.066,0.964,0.04,0.04,1.1,0.024,0.031,,8,1.9,1.9,5644,94,94,,,
HATS-7 b,Confirmed,0.12,0.012,0.012,,,,0.563,0.034,0.046,3.185315,5.40E-06,5.40E-06,0.04012,0.00043,0.00043,0,0,0.17,87.92,0.75,0.75,,2015,4/28/16,,,,,,,,,,,,,,,,,,,,,,,,,18.4,1.9,1.9,0,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,HATS-7,208.857,-21.20769445,13.34,,,,,257,12,15,0.25,0.08,0.08,0.849,0.027,0.027,0.815,0.035,0.049,K2,7.8,5,5,4985,50,50,,,
HATS-8 b,Confirmed,0.138,0.019,0.019,0.138,0.019,0.019,0.873,0.075,0.125,3.583893,1.00E-05,1.00E-05,0.04667,0.00055,0.00055,0.38,0.38,0,87.8,1.8,1.2,,2015,6/4/15,,,,,,,,,,2456672.11,0.0012,0.0012,,,,,,,0.36,0.2,0.2,,,,17.7,2.5,2.5,1324,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-8,294.9416667,-25.74833336,14.03,,,,,829,48,110,0.21,0.08,0.08,1.056,0.037,0.037,1.086,0.059,0.149,G2V,5.1,1.7,1.7,5679,50,50,,,
HATS-9 b,Confirmed,0.839,0.03,0.032,0.837,0.029,0.029,1.065,0.098,0.098,1.9153073,5.20E-06,5.20E-06,0.03048,0.00038,0.00038,0.129,0.129,0,86.5,2.5,1.6,,2015,8/17/15,,,,,,,,,,2456124.259,0.00086,0.00086,,,,,,,,,,,,,133.5,3.4,3.4,1823,,,,,0,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,HATS-9,290.8083333,-20.14972224,13.3,,,,,622,42,30,0.34,0.05,0.05,1.03,0.04,0.04,1.5,0.1,0.04,,10.8,1.5,1.5,5336,70,70,,,
HD 102117 b,Confirmed,0.172,0.018,0.018,0.172,0.018,0.018,0,,,20.67,0.04,0.04,0.1532,0.0088,0.0088,0.106,0.07,0.07,,,,0.003648,2004,8/30/14,283,3,3,2450942.9,3,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102117,176.2083333,-58.7036111,7.47,,,,,42,,,0.3,0.03,0.03,1.03,0.05,0.05,1.27,,,G6V,6.21,,,5672,22,22,,,
HD 102195 b,Confirmed,0.45,,,0.45,,,0,,,4.113775,0.00057,0.00057,0.049,,,0,0,0,,,,0.001691,2005,2/26/15,360,0,0,,,,,,,,,,,,,,,,,,,2453895.96,0.03,0.03,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102195,176.425,2.8213889,8.05,,,,,28.98,1,1,0.05,0.05,0.05,0.926,0.016,0.016,0.835,0.016,0.016,K0V,2.4,1.8,1.8,5291,34,34,,,
HD 102329 b,Confirmed,5.9,0.3,0.3,5.9,0.3,0.3,0,,,778.1,7.1,7.1,2.01,0.05,0.05,0.211,0.044,0.044,,,,0.012722,2011,9/2/11,182,10,10,2455096,20,20,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102329,176.6958333,3.4741667,8.04,,,,,158,21,21,0.3,0.03,0.03,1.95,0.14,0.14,6.3,0.1,0.1,,1.6,0.4,0.4,4830,44,44,,,
HD 102956 b,Confirmed,0.96,0.05,0.05,0.96,0.05,0.05,0,,,6.495,0.0004,0.0004,0.081,0.002,0.002,0.048,0.027,0.027,,,,0.000643,2010,7/28/10,12,40,40,2455346,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 102956,177.8458333,57.6408333,8,,,,,126,13,13,0.19,0.04,0.04,1.68,0.11,0.11,4.4,0.1,0.1,A,2.3,5,5,5054,44,44,,,
HD 103720 b,Confirmed,0.62,0.025,0.025,0.62,0.025,0.025,0,,,4.5557,0.0001,0.0001,0.0498,0.0008,0.0008,0.086,0.024,0.024,,,,,2014,1/8/15,262,15,15,2455387.46,0.04,0.04,,,,,,,,,,,,,,,,,,,89,2,2,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 103720,179.1708333,-2.778888914,9.49,,,,,41.6,2.1,2.1,-0.02,0.06,0.06,0.794,0.04,0.04,0.73,0.02,0.02,K3V,3.8,3.7,3.7,5017,88,88,,,
HD 104985 b,Confirmed,8.3,,,8.3,,,0,,,199.505,0.085,0.085,0.95,,,0.09,0.009,0.009,,,,0.007647,2003,1/22/16,203.5,5.7,5.7,2451927.5,3.3,3.3,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 104985,181.3125,76.9055556,5.79,,,,,102,,,-0.35,,,1.6,,,10.87,0.36,0.36,G9 III,2.95,0.65,0.65,4786,,,,,
HD 106252 b,Confirmed,32.86,25.3,39.46,7.56,,,0,,,1600,18,18,2.7,,,0.47,0.028,0.028,166.7,160.2,7.3,0.072115,2002,9/14/15,292.2,3.2,3.2,51871,17,17,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 106252,183.3708333,10.0413889,7.36,,,,,37.44,,,-0.078,,,0.96,,,1.09,,,G0,5.02,,,5754,,,,,
HD 106270 b,Confirmed,11,0.8,0.8,11,0.8,0.8,0,,,2890,390,390,4.3,0.4,0.4,0.402,0.054,0.054,,,,0.050648,2011,9/2/11,15.4,0.4,0.4,2454830,390,390,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 106270,183.4041667,-9.5133333,7.73,,,,,84.9,5.7,5.7,0.08,0.03,0.03,1.32,0.092,0.092,2.5,0.1,0.1,G5,4.3,0.6,0.6,5638,44,44,,,
HD 106315 b,Confirmed,0.0396,0.01,0.01,,,,0.218,0.015,0.015,9.5521,0.0019,0.0019,0.09012,0.00085,0.00085,0.3,0.3,0,88.4,2.1,1.1,,2017,9/5/17,72,126,56,,,,,,,2457505.652,0.0045,0.0045,,,,,,,0.47,0.32,0.32,,,,,,,1149,,,,,0,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,HD 106315,183.4708334,-0.393611127,9,,,,,107.3,3.9,3.9,-0.24,0.04,0.04,1.07,0.03,0.03,1.18,0.11,0.11,F5V,4,1,1,6290,3.9,3.9,,,
HD 106315 c,Confirmed,0.0478,0.01,0.01,,,,0.352,0.035,0.037,21.0576,0.002,0.002,0.1526,0.0014,0.0014,0.23,0.23,0,89.42,0.67,0.4,,2017,9/5/17,106,85,100,,,,,,,2457511.131,0.0012,0.0012,,,,,,,0.34,0.23,0.28,,,,,,,1143,,,,,0,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,HD 106315,183.4708334,-0.393611127,9,,,,,107.3,3.9,3.9,-0.24,0.04,0.04,1.07,0.03,0.03,1.18,0.11,0.11,F5V,4,1,1,6290,3.9,3.9,,,
HD 10647 b,Confirmed,0.93,0.18,0.18,0.93,0.18,0.18,0,,,1003,56,56,2.03,0.15,0.15,0.1,0.01,0.01,,,,0.117341,2003,1/14/16,108.9,8.2,8.2,2453654,99,99,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Announced on a professional conference,Radial Velocity,,,,,HD 10647,25.6208333,-53.7408333,5.52,,,,,17.3,,,-0.078,,,1.1,,,1.1,,,F8V,4.8,2.2,2.2,6039,,,Imaging,,q1 Eri
HD 10697 b,Confirmed,6.83,0.98,3.3,6.38,0.53,0.53,0,,,1076.4,2.4,2.4,2.16,0.12,0.12,0.1,0.01,0.01,69,26,26,0.066339,2000,1/14/16,108.9,8.2,8.2,2451480,18,18,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 10697,26.2291667,20.0830556,6.29,,,,,32.56,0.88,0.88,0.1,0.06,0.06,1.15,0.03,0.03,1.72,0.17,0.17,G5 IV,6.9,0.6,0.6,5641,80,80,,,
HD 108147 b,Confirmed,0.261,0.04,0.04,0.261,0.04,0.04,0,,,10.8985,0.0045,0.0045,0.102,0.06,0.06,0.53,0.12,0.12,,,,0.002645,2002,1/15/16,308,24,24,2450828.86,0.71,0.71,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 108147,186.4416667,-64.0219444,6.99,,,,,38.57,,,0.18,,,1.19,,,1.22,,,F8/G0 V,1.98,,,6067,,,,,
HD 108341 b,Confirmed,3.5,3.4,1.2,3.5,3.4,1.2,0,,,1129,6,8,2,0.04,0.04,0.85,0.09,0.09,,,,,2014,1/8/15,56.7,4,4,2456633,33,88,,,,,,,,,,,,,,,,,,,144,311,66,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,HD 108341,186.8791667,-71.42305557,9.36,,,,,49.4,2.3,2.3,0.04,0.06,0.06,0.843,0.024,0.024,0.79,0.03,0.03,K2V,4.9,4.1,4.1,5122,79,79,,,
HD 108863 b,Confirmed,2.6,0.2,0.2,2.6,0.2,0.2,0,,,443.4,4.2,4.2,1.4,0.03,0.03,0.1,inf,nan,,,,0.010072,2011,9/2/11,177,60,60,2455516,70,70,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 108863,187.5833333,21.9483333,7.89,,,,,139,15,15,0.2,0.03,0.03,1.85,0.13,0.13,5.6,0.1,0.1,K0,1.8,0.4,0.4,4956,44,44,,,
HD 108874 b,Confirmed,1.36,0.13,0.13,1.36,0.13,0.13,0,,,395.4,2.5,2.5,1.051,0.02,0.02,0.07,0.04,0.04,,,,0.015343,2003,8/17/12,248.4,36,36,60131.5,60,60,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 108874,187.6083333,22.8797222,8.76,,,,,68.5,,,0.14,,,1,,,1.22,,,G5,7.26,,,5407,,,IR Excess,,
HD 108874 c,Confirmed,1.018,0.3,0.3,1.018,0.3,0.3,0,,,1605.8,88,88,2.68,0.25,0.25,0.25,0.07,0.07,,,,0.039124,2005,8/17/12,17.3,23,23,14584.8,180,180,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,Published in a refereed paper,Radial Velocity,,,,,HD 108874,187.6083333,22.8797222,8.76,,,,,68.5,,,0.14,,,1,,,1.22,,,G5,7.26,,,5407,,,IR Excess,,
