NAME,RA,DEC,AGE,MASS [Mj],RADIUS [Rj],MAG_MOM [MMj],PLASMA_FRQ [MHz],FRQ [MHz],PHI_KIN [mJy],PHI_MAG [mJy]
HD 181342 b,290.2666667,-23.6194444,1.8000000000000003,2.9,1.0937860987379253,2.945879748705305,0.20804733132673864,54.02926482339187,0.0008744845604277792,5.989755359325518e-32
HD 205739 b,324.5333333,-31.7375,2.84,1.37,1.0545362365883248,1.8820645570538184,0.25190142270796767,38.51777877091667,0.0011230323850681143,8.529769595209328e-31
HD 207832 b,328.15,-26.0267,4.5,0.56,0.9394970631092929,0.2212156306212577,0.25887654452959363,6.4023700351466815,0.0029408576137187866,1.8009361820710544e-29
HD 207832 c,328.15,-26.0267,4.5,0.73,0.9696046436455287,0.43454400249261144,0.06986724923383919,11.440919811512071,0.0004471673564942177,2.23102744770127e-31
HD 208487 b,329.3291667,-37.7636111,3.88,0.413,0.8951060821274408,0.10807712964475474,0.3318236546522351,3.616775227243895,0.007624773630331098,3.8606682930771923e-29
HD 208487 c,329.3291667,-37.7636111,3.88,0.46,0.9001211959706084,0.14730429831300348,0.09401670215146662,4.847565609171715,0.0012915724300475862,5.929824317642425e-31
HD 20868 b,50.1791667,-33.73,4.5,1.99,1.0729945585158769,2.3484039069725244,0.15581798350778076,45.62380237136855,0.0012479465215325543,2.9689339874829724e-30
HD 216770 b,343.9708333,-26.6586111,3.6000000000000005,0.65,0.9634240340347654,0.31188989561820496,0.39424521318242556,8.37066801732921,0.012686774023744308,6.521412123094249e-29
HD 30669 b,72.12083334,-28.41916668,4.8,0.47000000000000003,0.8992721614955328,0.1582686217739476,0.05167626229163788,5.223151396163528,0.00028523267143715426,1.0566871876511377e-31
HD 30856 b,72.575,-24.3688889,3.7999999999999994,1.8,1.0746971408445545,2.2405758800483615,0.08625944615955003,43.322410956308644,0.00011730943043019589,4.0773139637028083e-32
HD 4208 b,11.1083333,-26.5155556,4.47,0.8040000000000002,0.9840840785908178,0.5467498012559682,0.08998496534585305,13.769027242447788,0.0015738169521734896,1.2508062689378565e-30
HD 4747 b,12.36152238,-23.21248221,3.2999999999999994,60.2,0.7087328806808101,5.635268663593304,0.011982988038919487,379.9077232890937,8.16065378511224e-05,3.064689530534369e-34
HD 47536 b,99.4458333,-32.3397222,9.33,5.0,1.094829436809564,3.8755125783823696,0.04664675812200385,70.87629303080222,1.786508085363121e-05,8.792085884180816e-32
HD 50499 b,103.0083333,-33.9155556,6.0,1.71,1.0628878451307766,2.1361126573243623,0.029292581276689083,42.69461220853254,0.00010805714367494232,3.531336458486173e-32
HD 73267 b,129.075,-34.46,7.400000000000001,3.0600000000000005,1.0843150361469613,2.9738762361133753,0.04235810584804327,55.984485549142335,0.00010103922719779937,1.7527336893092063e-31
HD 98219 b,169.45,-23.9752778,4.0,1.8,1.0804896795758177,2.2647940508847264,0.13376712332963595,43.090158165615975,0.00015772451094697728,1.5975200054890352e-31
HIP 13044 b,41.9041667,-36.1075,9.0,1.25,1.169398092404544,0.9387427992893884,0.6694117166282119,14.088693374830912,3.971234600816146e-05,2.3002510517636025e-29
WASP-8 b,359.9,-35.0313889,4.0,2.244,1.038,0.11752450946511202,2.0541018938258704,2.5220147855622255,0.03598631764535111,5.006701235497211e-27
